ID,nom_scientifique,nom_commun,,id_famille,taille_adulte_₋,taille_adulte_₊,profondeur_habituelle_-,profondeur_habituelle₊,Colonne_d_eau,reglementation,danger,mode_de_vie,entrainement_modele,A_entrainer,Cotes_françaises,Mediterranée,Atlantique,Manche,Mer du Nord,Pêche_commerciale,IUCN_red_list,citation_ouvrages,citation_doris,lien_fiche_doris
645,Rhizoprionodon acutus,Le requin à museau pointu,,140,100,120,0,50,,,,"Côtier, jusque dans les estuaires",,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,
646,Negaprion brevirostris,Le requin citron,,140,300,340,0,100,Souvent à faible profondeur,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," ROGER Jean, SITTLER Alain-Pierre in : DORIS, 13/01/2019 : Negaprion brevirostris (Poey, 1868)",https://doris.ffessm.fr/ref/specie/830
647,Alopias superciliosus,Le requin renard à gros yeux,,141,470,550,0,500,Souvent près de la surface,,,Se rencontre souvent au large,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," QUIMBRE Gwendal, ZIEMSKI Frédéric in : DORIS, 11/11/2020 : Alopias superciliosus (Lowe, 1841)",https://doris.ffessm.fr/ref/specie/1777
648,Alopias vulpinus,Le requin renard commun,,141,500,600,0,50,Chasse souvent près de la surface,,,"Requin du grand large, occasionnellement près des côtes",,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," JABOULAY Annie, SITTLER Alain-Pierre, MALIET Vincent, CHANET Bruno in : DORIS, 29/11/2020 : Alopias vulpinus (Bonnaterre, 1788)https://doris.ffessm.fr/ref/specie/1752",
649,Sphyrna lewini,Le requin marteau halicorne,,142,300,350,10,50,,,,"Souvent côtier, mais aussi en pleine mer",,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," FEUGAS Marie-Pierre, MALIET Vincent, LAMARE Véronique in : DORIS, 19/04/2021 : Sphyrna lewini (Griffith & Smith, 1834)",https://doris.ffessm.fr/ref/specie/2484
650,Sphyrna zygaena,Le requin marteau commun,,142,350,420,0,20,,,,"Requin de pleine mer , s’approchant des côtes",,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," VIEUX-INGRASSIA Jean-Vincent, JEGLOT Samuel in : DORIS, 29/11/2020 : Sphyrna zygaena Linnaeus, 1758",https://doris.ffessm.fr/ref/specie/4904
651,Sphyrna mokarran,Le grand requin marteau,,142,400,450,0,100,Requin de pleine eau,,On rapporte des attaques de baigneurs et pêcheurs sous marins,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," STEFANESCU Dan, FEY Laurent, HUET Sylvie in : DORIS, 07/09/2022 : Sphyrna mokarran (Rüppell, 1837)",https://doris.ffessm.fr/ref/specie/3902
652,Pristis pectinata,Le poisson scie tident,,143,400,500,1,10,Vit posé sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,
653,Squatina squatina,L’ange de mer commun,,144,180,200,5,100,Vit sur le fond,,,"Fréquente les fonds sablo-vaseux, herbiers et fonds rocheux. Activité surtout nocturne.",,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," JABOULAY Annie, SITTLER Alain-Pierre, CHANET Bruno in : DORIS, 28/04/2023 : Squatina squatina (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/1511
654,Squatina aculeata,L’ange de mer épineux,,144,130,200,30,500,Vit sur le fond,,,Fréquente les fonds vaseux.,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,
655,Squatina oculata,L’ange de mer ocellé,,144,140,160,20,100,Vit sur le fond,,,Fréquente les fonds sablo-vaseux,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,
656,Rhinobatos rhinobatos,La raie guitare commune,,145,80,100,0,100,Vit sur le fond,,,Fréquente les fonds meubles.,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,
657,Glaucostegus cemiculus,La raie requin,,145,180,200,5,50,Vit sur le fond,,,"Fréquente les fonds meubles, sableux ou vaseux, occasionnellement les herbiers ou à proximité des fonds rocheux.",,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,
658,Dipturus batis,Le pocheteau gris,,146,120,150,100,200,Sur le fond,,,Plutôt sur fonds sablo-vaseux.,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,
