,ID,nom_scientifique,nom_commun,citation_doris,lien_fiche_doris,id_famille,taille_adulte_₋,taille_adulte_₊,profondeur_habituelle_-,profondeur_habituelle₊,Colonne_d_eau,reglementation,danger,mode_de_vie,entrainement_modele,A_entrainer,Cotes_françaises,Mediterranée,Atlantique,Manche,Mer du Nord,Pêche_commerciale
223,224,Symphodus melops,Le crénilabre de melops," LESUR Nathalie, MARAN Vincent, ZIEMSKI Frédéric in : DORIS, 07/11/2020 : Symphodus melops (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/167,53,15.0,20,2.0,15.0,près du fond,,,,,,,,,,,
224,225,Symphodus ocellatus,Le crénilabre ocellé," LE BRIS Sylvain, PASTOR Jérémy, PEAN Michel in : DORIS, 07/05/2021 : Symphodus ocellatus (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/643,53,8.0,10,1.0,15.0,près du fond,,,,,,,,,,,
226,227,Symphodus cinereus,Le crénilabre cendré," LE BRIS Sylvain, PEAN Michel in : DORIS, 07/05/2021 : Symphodus cinereus (Bonnaterre, 1788)",https://doris.ffessm.fr/ref/specie/626,53,8.0,10,5.0,20.0,près du fond,,,,,,,,,,,
227,228,Symphodus mediterraneus,Le crénilabre méditerranéen," LE BRIS Sylvain, PEAN Michel in : DORIS, 07/05/2021 : Symphodus mediterraneus (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/667,53,10.0,15,3.0,20.0,près du fond,,,,,,,,,,,
228,229,Symphodus rostratus,Le sublet," LAMARE Véronique, CASTILLO Jean-Pierre, PASTOR Jérémy in : DORIS, 20/04/2021 : Symphodus rostratus (Bloch, 1791)",https://doris.ffessm.fr/ref/specie/142,53,8.0,10,3.0,20.0,près du fond,,,,,,,,,,,
234,235,Ctenolabrus rupestris,Le cténolabre," ZIEMSKI Frédéric, BORG David in : DORIS, 15/01/2021 : Ctenolabrus rupestris (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/1592,53,12.0,15,5.0,20.0,près du fond,,,,,,,,,,,
237,238,Thalassoma pavo,La girelle-paon," MARTIN Jérôme, PEAN Michel, GUICHARD Benjamin in : DORIS, 30/11/2022 : Thalassoma pavo (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/744,53,15.0,20,0.0,30.0,près du fond,,,,,,,,,,,
238,239,Coris julis,La girelle," CHEVALLIER Frédérik, LE GRANCHÉ Philippe in : DORIS, 08/11/2020 : Coris julis (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/651,53,20.0,25,1.0,60.0,près du fond,,,,,,,,,,,
239,240,Xyrichtys novacula,Le rason," BARBEAU Yveline, LOUE Catherine, FAUCONNIER Yves, CHARLET Anne, PICHON Bernadette, ADER Denis, PROUZET Anne in : DORIS, 03/10/2022 : Xyrichtys novacula (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/636,53,25.0,30,5.0,20.0,près du fond,,,,,,,,,,,
240,241,Sparisoma cretense,Le poisson-perroquet," LE BRIS Sylvain, MENUT Thomas in : DORIS, 07/12/2021 : Sparisoma cretense (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/4462,54,25.0,35,3.0,20.0,près du fond,,,,,,,,,,,
242,243,Siganus luridus,Le poisson lapin à queue tronquée," MARAN Vincent, CHARBONNEL Eric, QUIGNARD Jean-Pierre, ZIEMSKI Frédéric in : DORIS, 27/03/2021 : Siganus luridus (Rüppell, 1829)",https://doris.ffessm.fr/ref/specie/2561,55,20.0,25,1.0,10.0,près du fond,,épines venimeuses,,,,,,,,,
243,244,Siganus rivulatus,Le poisson lapin à ventre strié,"DORIS, 15/01/2023 : Siganus rivulatus Forsskål & Niebuhr, 1775",https://doris.ffessm.fr/ref/specie/3658,55,25.0,30,1.0,60.0,près du fond,,,,,,,,,,,
