,ID,nom_scientifique,nom_commun,citation_doris,lien_fiche_doris,id_famille,taille_adulte_₋,taille_adulte_₊,profondeur_habituelle_-,profondeur_habituelle₊,Colonne_d_eau,reglementation,danger,mode_de_vie,entrainement_modele,A_entrainer,Cotes_françaises,Mediterranée,Atlantique,Manche,Mer du Nord,Pêche_commerciale
488,489,Tripterygion melanurus,Le tryptérigion nain," RIGHELE Sébastien, CHARLET Anne, PICHON Bernadette, ADER Denis, SITTLER Alain-Pierre in : DORIS, 16/08/2022 : Tripterygion melanurus Guichenot, 1850",https://doris.ffessm.fr/ref/specie/521,97,4.0,4.5,0.5,15.0,Vivent sur le fond,,,,,,,,,,,
493,494,Conger conger,Le congre," SOHIER Sandra, PETIT DE VOIZE Patrice, JEGLOT Samuel in : DORIS, 13/09/2021 : Conger conger (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/610,100,150.0,200,5.0,100.0,Vivent sur le fond,,Morsure possible,,,,,,,,,
500,501,Anguilla anguilla,L’anguille," COROLLA Jean-Pierre, ZIEMSKI Frédéric, KUPFER Michel in : DORIS, 09/11/2020 : Anguilla anguilla (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/856,102,80.0,100,0.0,5.0,Vivent sur le fond,,,,,,,,,,,
503,504,Muraena helena,La murène commune," LA RIVIERE Marie, PEAN Michel, HARMELIN Jean-Georges in : DORIS, 06/12/2022 : Muraena helena Linnaeus, 1758",https://doris.ffessm.fr/ref/specie/740,103,120.0,130,5.0,50.0,Vivent sur le fond,,Morsure possible,,,,,,,,,
524,525,Pholis gunnellus,La gonnelle," SCAPS Patrick, MARAN Vincent, ZIEMSKI Frédéric in : DORIS, 27/03/2021 : Pholis gunnellus (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/122,110,22.0,25,0.0,30.0,Vivent sur le fond,,,,,,,,,,,
531,532,Platichthys flesus,Le flet," DON Jérémy, TOURENNE Murielle, BARRABES Michel, CHANET Bruno in : DORIS, 09/11/2020 : Platichthys flesus (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/801,113,35.0,40,1.0,25.0,Vivent sur le fond,,,,,,,,,,,
542,543,Bothus podas,Le rombou," BASCOUL Sophie, LAMARE Véronique, CHANET Bruno in : DORIS, 24/07/2022 : Bothus podas (Delaroche, 1809)",https://doris.ffessm.fr/ref/specie/726,114,23.0,28,10.0,50.0,Vivent sur le fond,,,,,,,,,,,
552,553,Solea solea,La sole commune," MARAN Vincent, GRIOCHE Alain, ZIEMSKI Frédéric in : DORIS, 07/11/2020 : Solea solea (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/135,117,35.0,40,0.0,80.0,Vivent sur le fond,,,,,,,,,,,
583,584,Hippocampus guttulatus,L’hippocampe moucheté," ADER Denis, BARRABES Michel, HUET Sylvie in : DORIS, 12/03/2022 : Hippocampus guttulatus Cuvier, 1829",https://doris.ffessm.fr/ref/specie/302,32,10.0,12,1.0,10.0,Vivent sur le fond,,,,,,,,,,,
585,586,Hippocampus histrix,L’hippocampe à ramules,,,32,10.0,14,,,Vivent sur le fond,,,,,,,,,,,
586,587,Hippocampus hippocampus,L’hippocampe à nez court," BARRABES Michel, ADER Denis, LOUISY Patrick, DIDIERLAURENT Sylvie in : DORIS, 19/10/2022 : Hippocampus hippocampus (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/299,32,9.0,11,1.0,10.0,Vivent sur le fond,,,,,,,,,,,
587,588,Syngnathus acus,Le syngnathe aiguille," ZIEMSKI Frédéric, LAMARE Véronique, CHANET Bruno in : DORIS, 20/04/2021 : Syngnathus acus Linnaeus, 1758",https://doris.ffessm.fr/ref/specie/229,32,30.0,40,1.0,15.0,Vivent sur le fond,,,,,,,,,,,
590,591,Syngnathus typhle,Le siphonostome atlantique," REGUIEG Aedwina, SITTLER Alain-Pierre, COROLLA Jean-Pierre, KUPFER Michel, CHANET Bruno in : DORIS, 08/11/2020 : Syngnathus typhle Linnaeus, 1758",https://doris.ffessm.fr/ref/specie/320,32,20.0,25,1.0,20.0,Vivent sur le fond,,,,,,,,,,,
597,598,Nerophis lumbriciformis,Le nérophis lombricoïde," ZIEMSKI Frédéric, BORG David in : DORIS, 10/11/2020 : Nerophis lumbriciformis (Jenyns, 1835)",https://doris.ffessm.fr/ref/specie/1404,32,12.0,15,0.0,5.0,Vivent sur le fond,,,,,,,,,,,
